,MRP,product code,product name,WEIGHT,Cost per item,ship,DISCOUNT,selling rate,GST,selling rate excl gst
Home Improvement,711,0696,0696 Multi Purpose Corner Wall Mount Shelf - 12 x 12 Inch  (H-101),500,237,84,15,604,18,512
Home Improvement,448,0697,0697 Multi Purpose Tooth Brush Holder/Tooth Paste Stand   (H-107),500,112,84,5,426,18,361
Home Improvement,485,0698,0698 Kitchen/Bathroom Square Napkin Toilet Paper Holder - 7 inch (H-110),420,97,42,25,364,18,308
Home Improvement,528,0699,0699 Kitchen/Bathroom Square Napkin Toilet Paper Holder - 14 inch,578,132,84,10,475,18,403
Home Improvement,528,0700,0700 Kitchen/Bathroom Round Napkin Toilet Paper Holder - 14 inch,540,132,84,15,449,18,380
Home Improvement,760,0701,0701 Multi Purpose Wall Mount Stand for Set top box (H-103),756,190,84,25,570,18,483
Home Improvement,744,0702,0702 Multi Purpose Wall Mount Stand for Set top box,500,248,84,15,632,18,536
Home Improvement,999,0756,0756_ABS Plastic 4 in 1 Multipurpose Kitchen/Bathroom Shelf/Paste-Brush Stand/Soap Stand/Tumbler Holder/Bathroom Accessories,627,110,84,50,500,18,423
Home Improvement,"1,999",0764,0764 Big 3 Blade Ceiling Fan,2590,825,252,20,1599,18,1355
Home Improvement,"2,599",0765,0765 Small 4 Blade Ceiling Fan,2900,795,252,35,1689,18,1432
Home Improvement,325,0862,"0862 Refrigerator base Stand 4pcs, Washing Machine Stand, Furniture Base Stand, Fridge Stands",451,47,42,10,293,18,248
Home Improvement,1399,1220,1220 Portable Mini Hand Tailor Machine for Sewing Stitching,1238,569,126,25,1049,18,889
Home Improvement,499,1232,1232 Handheld Portable Mini Electric Cordless Sewing Machine for Beginners,500,185,84,0,499,18,423
Home Improvement,499,1259,1259 Reusable Insulated Grocery Shopping Cloth Bag Washable and Foldable,968,77,84,20,399,18,338
Home Improvement,1299,1401,1401 Bathroom Accessories Folding Towel Rack,2730,389,252,20,1039,18,881
Home Improvement,1299,1490,"1490 Multipurpose Wooden Clips /Cloth Pegs (Large, 500 Pcs)",1000,610,84,20,1039,18,881
Home Improvement,299,1534,1534 kitchen water shower tap faucet tap aerator,125,69,42,0,299,18,253
Home Improvement,699,1570,1570 3 Layer Multipurpose Portable Folding Shoe Rack/Shoe Cabinet,1570,272,168,0,699,18,592
Home Improvement,2999,1708,1708 Table Corners Edge Protector Guards for Baby Child Safety (Pack of 100),1708,1429,168,25,2249,18,1906
Home Improvement,699,2267,2267 5 LTR Water Rover Jug (Plastic) (Multi-coloured),1426,230,126,10,629,18,533
Home Improvement,330,2307,2307 Telescopic Adjustable Faucet Rack Dish Brushes Sponge Storage Shelves Sink Drain,466,89,42,0,330,18,280
Home Improvement,999,2501,2501 Foldable Height Adjusting Stool Space Saving Telescopic Stool,1040,389,126,15,849,18,720
Home Improvement,999,2502,2502 Foldable Height Adjusting Stool Space Saving Telescopic Stool,1040,389,126,15,849,18,720
Home Improvement,599,3107,3107 Acrylic Wall Mount Shelf Rack Kitchen and Bathroom Accessories (15X5-inch),600,218,84,10,539,18,457
Home Improvement,799,3259,3259 Stainless Steel 3 in 1 Multipurpose Bathroom Shelf Rack Towel Rod Tumbler Holder with Brush Hanger Bathroom Accessories,500,257,84,20,639,18,542
Home Improvement,1999,4612,4612 Silent and Portable High Speed Foldable Table Fan with USB Charging Feature,810,859,84,30,1399,18,1186
Home Improvement,1999,4624,4624 Portable 2 Tier Stainless Steel and Plastic Cloth Drying Stand with Double Pole,3135,975,294,10,1799,18,1525
Home Improvement,999,4649,4649 Adjustable Folding Clothes Steel Drying Racks Hanger Shelf,2320,362,210,10,899,18,762
"Jams, Honey & Spreads",408,0051,0051 Strawberry spread (350 Gms),400,143,42,5,388,18,328
