CATEGORY,MRP,product code,product name,DISCOUNT,GST,selling rate excl gst,hsn,
"Kitchen Storage, Container & Rack",780,0746,0746_Stainless Steel 2 Layer Plate & Bowl Stand Kitchen Utensil Rack/Cutlery Stand,5,18,628,732393,
Cleaning Supplies,999,0802,0802 Cleaning 360 Degree Healthy Spray Mop with Removable Washable Cleaning Pad,15,18,720,392620,
"Kitchen Storage, Container & Rack",499,0804,0804 Collapsible Folding Silicone Dish Drying Drainer Rack with Spoon Fork Knife Storage Holder,0,18,423,392410,
Kitchen,399,0812,0812 Cake Decorating Kit with Reusable Plastic Couplers Piping Nozzle Set,0,18,338,392620,
Kitchen,899,0825,0825 Heavy Duty Universal Washing Machine Stand Double Single Door Stand,0,18,762,392410,
Toys For Kids,499,0859,"0859 46 Pcs Plastic Art Colour Set with Color Pencil, Crayons, Oil Pastel and Sketch Pens",15,18,359,950300,
Home Decor,599,0860,0860 Plastic 2 in 1 Mirror Come Photo Frame with Led Light,10,18,457,700910,
Home Improvement,325,0862,"0862 Refrigerator base Stand 4pcs, Washing Machine Stand, Furniture Base Stand, Fridge Stands",10,18,248,392410,
Home Decor,520,0874,0874 Rechargeable Camping Lantern LED Solar Emergency Light Bulb,15,18,375,940520,
Sports,753,0875,0875 Portable USB Battery Rechargeable Mini Fan - Headphone Design Wearable Neckband Fan,30,18,447,392690,
Hardware,440,0877,0877 Heavy Duty Industrial Cutter Knife 18mm,40,18,224,392410,
Gift,400,0879,0879 24K Artificial Golden Rose/Gold Red Rose with Gift Box (10 inches),15,18,288,392690,
Stationery,552,0881,"0881  Double Sided Nano Adhesive Tape, 5 meter Washable Traceless Nano Gel Tape, Multipurpose",20,18,374,391990,
Stationery,485,0882,"0882 Double Sided Nano Adhesive Tape, 3 meter Washable Traceless Nano Gel Tape, Multipurpose",25,18,308,391990,
Other,412,0900,0900 Tamper Proof Courier Bags(6.5X08 PLAIN 180 POD M1) - 100 pcs,10,18,314,392321,
Other,532,0901,0901 Tamper Proof Courier Bags(8X10 PLAIN 180 POD M1) - 100 pcs,5,18,428,392391,
Other,664,0902,0902 Tamper Proof Courier Bags(09X12 PLAIN 180 POD M1) - 100 pcs,15,18,478,392391,
Other,412,0930,"0930  POD pouch Secure Tamper Proof Courier Bags,100 pcs (7.5 x 7.5 Inch)",5,18,332,392321,
Baby Care,723,0950,"0950 Premium Champs High Absorbent Pant Style Diaper Small Size, 42 Pieces (950_Small_42)",15,18,521,961900,
Baby Care,780,0952,"0952 Premium Champs High Absorbent Pant Style Diaper Medium Size, 40 Pieces (952_Medium_40)",5,18,628,961900,
Toys For Kids,699,1082,1082 Dobble Game for Children (Multicolour),15,18,504,392690,
Toys For Kids,799,1083,1083 Dobble Spot It Card Educational Game,25,18,508,392690,
Computer Accessories,999,1090,1090 Multipurpose Foldable Laptop Table (Multicolour),15,18,720,392490,
Home Decor,449,1136,1136 Balloon Pack for Birthday Party Decoration & Occasions (100 pcs),5,18,361,880100,
Home Decor,499,1139,1139 3 Pcs Multicolor Wooden Floral Design For Wall Art,5,18,402,442190,
