Handle,Titl,e,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,DeoDap International Private Limited
4760_10pc_writing_ball_pen,4760,Comfort & Extra Smooth Writing Ball Pen (Pack of 100Pcs),Default Title,,,,,4760_100Pc_Writing_Ball_Pen,,,51
8056-bouncy-stress-reliever-fun-play-led-rubber-balls-for-kids,8056,Bouncy Stress Reliever Fun Play Led Rubber Balls for Kids (1Pc Only),Default Title,,,,,8056_Glowing_Bouncy_Ball,,,100
6092-cosmetic-organiser-16-compartment-cosmetic-makeup-storage-organiser-box,6092,Cosmetic Organiser 16 Compartment Cosmetic Makeup Storage Organiser Box,Default Title,,,,,6092_16Sec_Cosmetic_Organizer,,,0
6094-v-shape-foldable-phone-stand-mobile-pack-of-10pcs,6094,V Shape Foldable Phone Stand Mobile (Pack of 10Pc),Default Title,,,,,6094_10Pc_V_Shape_M_Holder,,,183
7056-non-stick-extra-large-cookie-baking-sheet,7056,Non-Stick Extra Large Cookie Baking Sheet,Default Title,,,,,7056_BKT_17X11in_15,,,130
7057_bkt_14x11in_03,7057,"Non-Stick Carbon Steel 12-Cup Muffin Pan Midi Shape Muffins, Cupcake Mold",Default Title,,,,,7057_BKT_14X11in_03,,,0
2639-non-stick-silicone-spatula-reusable-kitchen-for-cooking-multicolor,2639,Non-Stick Silicone Spatula Reusable Kitchen for Cooking Multicolor,Default Title,,,,,2639_29CM_Silicone_Spatula,,,0
0142-plastic-manual-citrus-juicer-with-waste-collector-vaccum-locking-system,142,Plastic Manual Citrus Juicer with Waste collector & Vaccum locking system,Default Title,,,,,0142_mini_white_juicer,,,0
6093-acrylic-multi-purpose-lipstick-cosmetics-stand-display-holder-24-section,6093,Acrylic Multi Purpose Lipstick Cosmetics Stand Display Holder 24 Section,Default Title,,,,,6093_24Sec_Lipstick_Stand,,,0
4756-window-cleaner-double-side-glazed-two-sided-glass-cleaner,4756,Window Cleaner Double-Side Glazed Two Sided Glass Cleaner,Default Title,,,,,4756_Magnetic_Window_Cleaner,,,239
6066a-woolen-windproof-multi-functional-winter-face-mask-balaclava-neck-warmer,6066,"A Woolen Windproof Multi Functional Winter Face Mask, Neck Warmer",Default Title,,,,,6066A_Woolen_Monkey_Cap,,,0
mobile-phone-charger-fast-charging-usb-charger-universal-3-4-port-eu-us-wall-charger-adapter,1705,Triple USB 3 Port Wall AC Adapter Charger for Mobile Phone (1Pc Only),Default Title,,,,,1705_3USB_Mob_Adapter,,,2613
0521-classic-ball-pen-pack-of-50,521,Classic Silver Ball Pen (Pack of 50),Default Title,,,,,0521_50Pc_Silver_Pen,,,0
4752-random-shape-rainbow-colored-popit,4752,Random Shape Rainbow Colored Fidget (1Pc Only),Default Title,,,,,4752_1Pc_Mix_Rainbow_Fidget,,,133
0517-classic-ball-pen-pack-of-50,517,Classic Ball Pen (Pack of 50),Default Title,,,,,0517_50Pc_Souvenir_Pen,,,233
6091_lint_remover,6091,"Creative Mind Lint Remover for All Woolens Sweaters, Blankets, Jackets",Default Title,,,,,6091_Lint_Remover,,,109
1379-wall-mounted-storage-box-remote-storage-organizer-case-multicolour-2,1379,A Wall Mounted Storage Box Remote Storage Organizer Case (Multicolour) (1Pc Only),Default Title,,,,,1379A_Wall_Mob_Stand_1Pc,,,1036
3737-round-plastic-jar-container-with-apple-shape-for-kitchen-storage-250ml,3737,Round Plastic Jar/Container with Apple Shape for Kitchen Storage (500ML),Default Title,,,,,3737_SI_Apple_Jar_500ML,,,0
2636-4-layer-storage-organiser-slim-rack-shelf-with-wheel,2637,5 Layer Storage Organiser Slim Rack Shelf with Wheel,Default Title,,,,,2637_Multi_C_5Layer_Slim_Rack,,,96
0525-durable-eco-friendly-broom-with-scraper-1,525,Durable Eco-Friendly Broom with Scraper,Default Title,,,,,0525_Magic_Broom_Wiper,,,0
2636-4-layer-green-storage-organiser-slim-rack-shelf-with-wheel,2636,4 Layer Storage Organiser Slim Rack Shelf with Wheel,Default Title,,,,,2636_Multi_C_4Layer_Slim_Rack,,,91
6090-multi-mobile-plastic-stand-wall-mounted-multi-organiser-for-home,6090,Multipurpose Mobile Plastic Stand Wall Mounted (Pack of 2Pcs),Default Title,,,,,6090_2Pc_Multi_P_Mob_Stand,,,58
8039-flying-soccer-magic-ball-frisbee-deformation-ufo-football-flat-throw-disc-with-6-led-light,8039,A Flying Soccer Magic Ball Frisbee Deformation UFO Football Flat Throw Disc with 6 LED Light,Default Title,,,,,8039A_6LED_UFO_Frisbee_Ball,,,0
7054-round-cake-food-mould-cake-baking-tray,7054,"Angel Food Cake Pan, Non-Stick Baking Tray",Default Title,,,,,7054_BKT_5X9in_23,,,0
3736_apple_jar_400ml,3736,Round Plastic Jar/Container with Apple Shape for Kitchen Storage (250ML),Default Title,,,,,3736_SI_Apple_Jar_250ML,,,216
3735-transparent-unbreakable-lemon-juice-jug-set,3735,Transparent Unbreakable Lemon Juice Jug Set,Default Title,,,,,3735_4Pc_Pla_Glass_Jug_Set,,,0
6089-non-slip-gripper-for-athletes-hand-rehabilitation-exercising,6089,Non-Slip Gripper for Athletes Hand Rehabilitation Exercising,Default Title,,,,,6089_Hand_Grip_Exerciser,,,37
0216-cute-cartoon-design-multi-angle-adjustable-fordable-mobile-stand,216,Cute Cartoon Design Multi-Angle Adjustable Foldable Mobile Stand,Default Title,,,,,0216_1Pc_Cartoon_Phone_Stand,,,46
4706-comfort-extra-smooth-writing-ball-pen-1,4706,Comfort & Extra Smooth Writing Ball Pen (1Pc Only),Default Title,,,,,4706_1Pc_Writing_Ball_Pen,,,28767
0561-multipurpose-kitchen-household-garden-scissor,561,A Multipurpose Kitchen/Household/Garden Scissor  (Color may vary),Default Title,,,,,0561A_8inch_3in1_Scissor,,,0
4748-stainless-steel-sink-wash-basin-drain-strainer-1,4748,Stainless Steel Sink/Wash Basin Drain Strainer (1Pc Only),Default Title,,,,,4748_115MM_SS_Sink_Strainer,,,324
2563-wall-mounted-oil-dispenser-bottle-1,2563,A Wall Mounted Oil Dispenser Bottle (1100ML Approx),Default Title,,,,,2563A_Wall_M_Oil_Dispenser,,,4305
7052-aluminium-cake-mould-cake-baking-tray,7052,Aluminium Cake Mould Cake Baking Tray (16X11 Inch),Default Title,,,,,7052_BKT_16X11in_08,,,64
7051-nonstick-aluminium-muffin-tray-cupcake-pan-tray-12-cup-cavities,7051,Nonstick Aluminium Muffin Tray Cupcake Pan Tray (12 Cup Cavities),Default Title,,,,,7051_BKT_15X11in_01,,,285
2395-non-slip-wooden-bamboo-cutting-board-with-antibacterial-surface-1,2395,A Non-Slip Wooden Bamboo Cutting Board with Antibacterial Surface,Default Title,,,,,2395A_Bamboo_Cutting_Board,,,0
8055-mob-video-game-set-for-tv-gaming-1,8055,TV Video Game Set for Kids,Default Title,,,,,8055_Classic_TV_Game_Set,,,61
3739-bubble-transparent-storage-jar-400ml-1,3739,Bubble Transparent Plastic Storage Jar 400ml (1Pc Only),Default Title,,,,,3739_Bubble_Jar_400ML,,,216
0508-safety-helmet-construction-protective-helmets-anti-smashing-1,508,Safety Helmet Construction Protective Helmets Anti-smashing,Default Title,,,,,0508_W_Eng_Safety_Helmet,,,0
3734-transparent-unbreakable-lemon-juice-jug-set-pack-of-7,3734,Transparent Unbreakable Lemon Juice Jug Set (Pack of 6),Default Title,,,,,3734_6Pc_Pla_Glass_Jug_Set,,,113
2632-plastic-bottles-with-3-nozzel-for-sauce-mayonnaise-chocolate-syrup-pack-of-2pc,2632,"Plastic Bottles with 3 Nozzel for Sauce, Mayonnaise, Chocolate Syrup (Pack of 2Pc)",Default Title,,,,,2632_2Pc_Sauce_Bottle_360ML,,,783
4751-42-piece-fondant-cake-cookie-plunger-cutter-1,4751,42 Piece Fondant Cake Cookie Plunger Cutter,Default Title,,,,,4751_42Pc_Cake_DIY_Tools,,,0
2634_pla_puri_press_maker,2634,Plastic Material Puri Press Maker With Handle Manual Roti Press Maker,Default Title,,,,,2634_Pla_Puri_Press_Maker,,,31
4747-fish-shape-soap-dish-box-case-holder-plastic-soap-holder-pack-of-2pc,4747,Fish Shape Soap Dish Adhesive Waterproof Wall Mounted Bar Soap Dish Holder  (Pack of 2Pc),Default Title,,,,,4747_2Pc_Fish_Soap_Dish,,,560
3738-bubble-transparent-storage-jar-1000ml,3738,Bubble Transparent Plastic Storage Jar 1000ml (1Pc Only),Default Title,,,,,3738_Bubble_Jar_1000ML,,,159
4744-2-layer-multi-purpose-modular-drawer-storage-system,4744,2 Layer Multi-Purpose Modular Drawer Storage System,Default Title,,,,,4744_2Layer_Modular_Drawer,,,0
mobile-phone-gamepad-joystick-handle-l1-r1-trigger-for-pubg-sensitive-shoot,8054,Mobile Phone Gamepad Joystick Handle L1 R1 Trigger for PUBG Sensitive Shoot,Default Title,,,,,8054_PUBG_Controller_AK16,,,644
spring-dancing-emoji-dolls,4746,Spring Dancing Emoji Dolls (Set of 6Pc),Default Title,,,,,4746_6Pc_Fancy_Spring_Doll,,,0
1800-stainless-steel-scissors-with-cover-160mm,1800,Stainless Steel Scissors with Plastic handle grip 160mm (1Pc Only),Default Title,,,,,1800_160MM_SS_Scissors,,,430
1799-yoga-mat-multi-use-thick-exercise-mat,1799,Yoga Mat Multi-use Thick Exercise Mat (8mm Thickness),Default Title,,,,,1799_8mm_YogaMat,,,31
8053-bubble-refill-liquid-solution-for-kids-pack,8053,Bubble Refill Liquid Solution for Kids Pack,Default Title,,,,,8053_Bubble_Liquid_Bottle,,,0
1798_engineer_safety_helmet,1798,Yellow Plastic Hard Hat Construction Cap (1Pc Only),Default Title,,,,,1798_Engineer_Safety_Helmet,,,200
1344-silicone-dish-scrubber-sponge-mildew-free-non-stick-heat-resistant-2,6078,"Silicone Dish Scrubber Sponge Mildew Free, Non Stick (Mix Color)",Default Title,,,,,6078_4Pc_Sili_Dish_Scrubber,,,137
4745-premium-quality-table-cloth-for-steal-table-85x54-inch,4745,Premium Quality Table cloth For Steal Table (85x54 inch),Default Title,,,,,4745_6_Seater_Table_Cover,,,0
1487a-wall-mounted-storage-case-with-mobile-phone-charging-holder-pack-of-4pc,1487,A Wall Mounted Storage Case with Mobile Phone Charging Holder (Pack of 4Pc),Default Title,,,,,1487A_BX_Wall_Mob_Stand_4Pc,,,104
6076-large-rubber-hot-water-heating-bag-with-cover-for-pain-relief,6076,(Large) Rubber Hot Water Heating Bag With Cover for Pain Relief,Default Title,,,,,6076_Large_HWB_Cover,,,0
4657-washer-dryer-anti-vibration-pads-with-suction-cup-feet-1,4657,Washer Dryer Anti Vibration Pads with Suction Cup Feet,Default Title,,,,,4657_Anti_Vibration_Pad_4Pc,,,500
7391-thumb-finger-sleeve-for-mobile-game-pubg-cod-freefire,7391,"Thumb & Finger Sleeve for Mobile Game, Pubg,Cod,Freefire (1Pair only)",Default Title,,,,,7391_1Pair_Thumb_Sleeve,,,1049
6077-wireless-mouse-with-bluetooth-or-usb,6077,Wireless Mouse for Laptop/PC/Mac/iPad pro/Computer,Default Title,,,,,6077_Wireless_Mouse,,,117
1797-stainless-steel-bath-drape-clasp-curtain-hooks-pack-of-12-pcs,1797,Stainless Steel Bath Drape Clasp Curtain Hooks (Pack of 12 Pcs),Default Title,,,,,1797_12PC_SS_Curtain_Hanger,,,235
6075-sweeping-microfiber-cleaning-cloth-24pc-1,6075,Sweeping Microfiber Cleaning Cloth  - (24Pcs Set),Default Title,,,,,6075_24Pc_Microfiber_Cloth,,,31
corner-guards-clear-corner-protectors-high-resistant-adhesive-pack-of-4pc,7423,Corner Guards Clear Corner Protectors High Resistant Adhesive (Pack of 4Pc),Default Title,,,,,7423_4Pc_R_Edge_Protectors,,,1171
7356-socks-breathable-thickened-classic-simple-soft-skin-friendly-1pair,7356,Socks Breathable Thickened Classic Simple Soft Skin Friendly (1Pair),Default Title,,,,,7356_Ladies_M_Print_Socks,,,11319
2431-high-quality-multi-utility-compact-foldable-table-1,2431,High Quality Multi-Utility Compact Foldable Table,Default Title,,,,,2431_5In1_Kidzz_Table,,,1184
0100a-plastic-spice-rack-masala-organiser-pack-of-6pcs,100,A Plastic Spice Rack Masala Organiser (Pack of 6Pcs),Default Title,,,,,0100A_6Pc_Spicerack,,,241
1084-multipurpose-ceiling-fan-cleaning-duster-cleaner-1,1084,Multipurpose Ceiling Fan Cleaning Duster Cleaner,Default Title,,,,,1084_Simple_Fan_Cleaner,,,134
7261_dd_mix_hwb,7261,Hot Water Bottle Bag For Pain Relief With Cover (Pack of 100Pcs),Default Title,,,,,7261_100Pc_DD_Mix_HWB,,,0
square-modular-plastic-container-set-of-3,2631,Square Modular Plastic Container Set of 3 (250ML Capacity),Default Title,,,,,2631_3Pc_Lids_Container_250ML,,,0
1120a_sili_r_sink_strainer,1120,A Silicon Sink Strainer Kitchen Drain Basin Basket Sink Drainer,Default Title,,,,,1120A_Sili_R_Sink_Strainer,,,1059
2530a_100pc_dominos_block,2530,A 100 pcs 10 Color Dominos Blocks Set,Default Title,,,,,2530A_100Pc_Dominos_Block,,,0
0768a-4-layer-multi-purpose-modular-drawer-storage-system,768,A 4 Layer Multi-Purpose Modular Drawer Storage System,Default Title,,,,,0768A_4Layer_Modular_Drawer,,,0
7390-deep-tissue-percussion-body-massage-machine-for-pain-relief,7390,Deep Tissue Percussion Body Massage Machine For Pain Relief,Default Title,,,,,7390_Massage_Gun_SY_720,,,0
6074_6pc_shop_loofah_150gm,6074,Bath Shower Loofah Sponge Pouf Body Scrubber (Pack of 6Pcs),Default Title,,,,,6074_6Pc_Shop_Loofah_150Gm,,,188
2594a-plastic-scrubber-round-nylon-scrubbers-12pcs-set,2594,A Plastic Scrubber Round Nylon Scrubbers (12Pcs Set),Default Title,,,,,2594A_12Pc_Scrubber,,,102
6073-hanging-bath-shower-long-loofah-sponge-pouf-body-scrubber-pack-of-6,6073,Hanging Bath Shower Long Large Size Loofah Sponge Pouf Body Scrubber (pack of 6),Default Title,,,,,6073_6Pc_Big_Loofah_230Gm,,,43
0882a_ivy_grip_tape_3m,882,"A Double Sided Nano Adhesive Tape, 3 meter Size (20mm Width X 2mm Thickness)",Default Title,,,,,0882A_Ivy_Grip_Tape_3M,,,0
1079a-adjustable-drawer-organizer-and-kitchen-board-divider,1079,A Adjustable Drawer Organizer and Kitchen Board Divider (Pack of 6Pcs),Default Title,,,,,1079A_6Pc_Drawer_Dividers,,,1453
2630-plastic-scrubber-round-nylon-scrubbers-pack-of-7,2630,Plastic Scrubber Round Nylon Scrubbers (Pack of 6),Default Title,,,,,2630_6Pc_Pre_Scrub_185Gm,,,82
1794-plastic-bath-drape-clasp-curtain-hooks,1794,Plastic Bath Drape Clasp Curtain Hooks (Pack of 12 Pcs),Default Title,,,,,1794_12PC_R_Curtain_Hanger,,,175
1792-universal-anti-skid-grass-vinyl-mat-pad,1792,Universal Anti Skid/Grass Vinyl Mat Pad (1Pc Only),Default Title,,,,,1792_Heavy_Car_Anti_Skid_Pad,,,3691
1793-plastic-ring-bath-drape-loop-clasp-shower-curtain-hooks,1793,Plastic Ring Bath Drape Loop Clasp Shower Curtain Hooks (Pack of 12Pcs),Default Title,,,,,1793_12PC_O_Curtain_Hanger,,,155
6071-wooden-clips-pack-of-10,6071,Wooden Clips (Pack of 10),Default Title,,,,,6071_Wooden_clip_10pc,,,0
hanging-bath-shower-long-loofah-sponge-pouf-body-scrubber,6072,Hanging Bath Shower Long Loofah Sponge Pouf Body Scrubber Small Size (Pack of 6),Default Title,,,,,6072_6Pc_Mini_Loofah_170Gm,,,125
2629-plastic-scrubber-round-nylon-scrubbers-pack-of-12,2629,Plastic Scrubber Round Nylon Scrubbers Small Size  (Pack of 12),Default Title,,,,,2629_12Pc_Mini_Scrub_150Gm,,,87
2628-food-storage-container-with-removable-drain-plate-and-lid-1500-ml,2628,Food Storage Container with Removable Drain Plate and Lid 1500 ml (Pack of 2Pc),Default Title,,,,,2628_2Pc_Fish_Cont_1500ML,,,625
2627-smiley-stainless-steel-multipurpose-utility-tong-1pc-only,2627,Smiley Stainless Steel Multipurpose Utility Tong (1Pc Only),Default Title,,,,,2627_SS_Smiley_Fry_Tool,,,0
0769-5-layer-multi-purpose-modular-drawer-storage-system,769,A 5 Layer Multi-Purpose Modular Drawer Storage System,Default Title,,,,,0769A_5Layer_Modular_Drawer,,,0
3-layer-multi-purpose-modular-drawer-storage-system,767,A 3 Layer Multi-Purpose Modular Drawer Storage System,Default Title,,,,,0767A_3Layer_Modular_Drawer,,,0
4743_1pc_b_g_mix_fidget_toy,4743,B Grade Mixed Design Fidget Toy Stress Relief Toys (1Pc only),Default Title,,,,,4743_1Pc_B_G_Mix_Fidget_Toy,,,738
2626-scratch-proof-kitchen-utensil-scrubber-pad-pack-of-13,2626,Scratch Proof Kitchen Utensil Scrubber Pad (Pack of 12),Default Title,,,,,2626_12Pc_Scrubber_Pad,,,48
6070-stainless-steel-fancy-water-bottle-750-ml-1,6070,Stainless Steel Fancy Water Bottle (750 ml),Default Title,,,,,6070_750ML_SS_Fancy_Bottle,,,0
2625-plastic-square-storage-organiser-container-1,2625,Plastic Square Storage Organiser Container (750ML Capacity),Default Title,,,,,2625_3Sec_Container_750Ml,,,0
0727-manual-handy-and-compact-vegetable-chopper-blender-2,727,A Manual Handy and Compact Vegetable Chopper/Blender (Brown Box),Default Title,,,,,0727A_B_Grade_Handy_Chopper,,,0
2288-large-vegetable-chopper-with-3-blades-multicolour-550-ml-1,2288,A Large Vegetable Chopper with 3 Blades (Multicolour) (550 ml) (Brown Box),Default Title,,,,,2288A_Premium_Uttam_Chopper,,,1114
1354-plastic-sticker-self-adhesive-multipurpose-hanger-hooks-1,1354,Plastic Sticker Self Adhesive Multipurpose Hanger Hooks,Default Title,,,,,1354_Magic_Sticker_Hook,,,0
1344-silicone-dish-scrubber-sponge-mildew-free-non-stick-heat-resistant-1,1344,"Silicone Dish Scrubber Sponge Mildew Free, Non Stick, Heat Resistant",Default Title,,,,,1344_Silicone_Dish_Scrubber,,,17676
8051-ludo-laptop-table-for-online-study-and-children-1,8051,Ludo Laptop Table for Online Study and Children,Default Title,,,,,8051_Ludo_WLTT_Box,,,0
8050-barbie-laptop-table-for-online-study-and-children-1,8050,Barbie Laptop Table for Online Study and Children,Default Title,,,,,8050_Barbie_WLTT_N1_Box,,,0
1441-hexagonal-magnetic-braided-rope-drapery-window-curtains-loop-binding-ties-buckle-pack-of-2,1441,Hexagonal Magnetic Braided Rope Drapery Window Curtains Loop Binding Ties Buckle (Pack of 2),Default Title,,,,,1441_Magnetic_Curtain_Buckle,,,1179
1656-rechargeable-motion-sensor-led-night-light-with-magnetic-stick-and-portable,1656,Round Shape 6 LED Motion Sensor Induction Led Light,Default Title,,,,,1656_Magnetic_Sensor_Light,,,149
1476-hair-scalp-massager-shampoo-brush-scalp-shampoo-brush-1,1476,"Hair Scalp Massager Shampoo Brush,Scalp Shampoo Brush",Default Title,,,,,1476_Silicone_Head_Massager,,,5329
4742-unicorn-fidget-toy-stress-relief-toys-1,4742,Mixed Design Fidget Toy Stress Relief Toys (1Pc only),Default Title,,,,,4742_1Pc_Mix_Fidget_Toy,,,0
0613-textured-anti-skid-drawer-mat-45-x-103-cm,613,Textured Anti Skid Drawer Mat (45 x 103 cm),Default Title,,,,,0613_table_mat_150,,,843
2624-multipurpose-dining-stand-set-container,2624,Multipurpose Dining Stand Set Container,Default Title,,,,,2624_Multi_P_Dining_Stand,,,0
1742-magic-adhesive-plastic-wall-hooks-heavy-duty-hooks-pack-of-21,1742,Magic Adhesive Plastic Wall Hooks Heavy Duty Hooks (Pack of 20),Default Title,,,,,1742_20Pc_Magic_Wall_Sticker,,,3509
2621-mini-small-plastic-cabinet-brown-2-doors,2621,"Cabinet Caddy, Modular Rotating Spice Rack Multi-functional Organizer Rack Two 2-Tiered Shelves with Base",Default Title,,,,,2621_2L_Cabinet_Caddy,,,103
2346-oil-dispenser-transparent-plastic-oil-bottle-clear-1-liter,2346,Oil Dispenser Transparent Plastic Oil Bottle |Clear 1 Liter,Default Title,,,,,2346_Oil_Dispenser_1Ltr,,,990
6069-infrared-thermometer-non-contact-ir-thermometer-forehead-temperature-gun,6069,Infrared Thermometer Non Contact IR Thermometer Forehead Temperature Gun,Default Title,,,,,6069_Thermometer_Gun,,,325
7260_5pc_s_hwb,7260,Hot Water Bottle Bag For Pain Relief With Cover (Pack of 5Pcs),Default Title,,,,,7260_5Pc_S_HWB,,,357
7349_12pair_coolest_mix_socks,7349,Men's Pattern Dress Funky Fun Colorful Crew Socks 12 Assorted Patterns,Default Title,,,,,7349_12Pair_Coolest_Mix_Socks,,,237
7259_hwb_pack_3,7259,Personal Care Rubber Hot Water Heating Bag for Pain Relief (Pack Of 3Pc),Default Title,,,,,7259_HWB_Pack_3,,,215
6066-ultra-soft-unisex-woollen-beanie-cap-plus-muffler-scarf,6066,Ultra Soft Unisex Woollen Beanie Cap Plus Muffler Scarf,Default Title,,,,,6066_Beanie_Cap_Muffler_Set,,,117
2180b-compact-powerful-hand-held-vegetable-chopper-950-ml,2180,B Compact & Powerful Hand Held Vegetable Chopper (950 ml),Default Title,,,,,2180B_2In1_5B_Chopper_950Ml,,,745
1791-paper-cutter-18-mm,1791,Paper Cutter (18 mm) (Pack of 12Pcs),Default Title,,,,,1791_12Pc_Knife_Cutter,,,0
6068-remover-descale-powder-for-washing-machine-deep-cleaner,6068,Remover Descale Powder For Washing Machine Deep Cleaner,Default Title,,,,,6068_Ind_Scalegone_100Gm,,,203
2622-kitchen-storage-container-for-multipurpose-use-1000ml-pack-of-4,2622,Kitchen Storage Container for Multipurpose Use (1000ml) (Pack of 4),Default Title,,,,,2622_4PC_Storage_Cont_1000Ml,,,36
